,min,max,mean,stddev,median,iqr,rounds,errors,durations
performance.mlp.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,7.78
performance.xgb.gt,0.912566,0.912566,0.912566,0.0,0.912566,0.0,1,0,1.02
performance.xgb.syn_id,0.375322,0.375322,0.375322,0.0,0.375322,0.0,1,0,1.02
performance.xgb.syn_ood,0.443452,0.443452,0.443452,0.0,0.443452,0.0,1,0,1.02
performance.linear_model_augmentation.gt,0.781944,0.781944,0.781944,0.0,0.781944,0.0,1,0,9.82
performance.linear_model_augmentation.aug_ood,0.532143,0.532143,0.532143,0.0,0.532143,0.0,1,0,9.82
performance.mlp_augmentation.gt,0.495556,0.495556,0.495556,0.0,0.495556,0.0,1,0,7.63
performance.mlp_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,7.63
performance.xgb_augmentation.gt,0.912566,0.912566,0.912566,0.0,0.912566,0.0,1,0,1.10
performance.xgb_augmentation.aug_ood,0.443452,0.443452,0.443452,0.0,0.443452,0.0,1,0,1.10
performance.feat_rank_distance.corr,-0.094391,-0.094391,0.001000,0.0,-0.094391,0.0,1,0,0.32
performance.feat_rank_distance.pvalue,0.198165,0.198165,0.198165,0.0,0.198165,0.0,1,0,0.32
detection.detection_xgb.mean,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.15
detection.detection_mlp.mean,0.996214,0.996214,0.996214,0.0,0.996214,0.0,1,0,5.29
detection.detection_gmm.mean,0.095322,0.095322,0.095322,0.0,0.095322,0.0,1,0,6.05
detection.detection_linear.mean,0.999703,0.999703,0.999703,0.0,0.999703,0.0,1,0,25.93
privacy.delta-presence.score,72.999999,72.999999,72.999999,0.0,72.999999,0.0,1,0,0.21
privacy.k-anonymization.gt,18.000000,18.000000,18.000000,0.0,18.000000,0.0,1,0,0.47
privacy.k-anonymization.syn,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.47
privacy.k-map.score,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.24
privacy.distinct l-diversity.gt,18.000000,18.000000,18.000000,0.0,18.000000,0.0,1,0,0.50
privacy.distinct l-diversity.syn,1.000000,1.000000,1.000000,0.0,1.000000,0.0,1,0,0.50
privacy.identifiability_score.score,0.025581,0.025581,0.025581,0.0,0.025581,0.0,1,0,0.10
privacy.identifiability_score.score_OC,0.000000,0.000000,0.000000,0.0,0.000000,0.0,1,0,0.10
privacy.DomiasMIA_BNAF.accuracy,0.007220,0.007220,0.007220,0.0,0.007220,0.0,1,0,248.62
privacy.DomiasMIA_BNAF.aucroc,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,248.62
privacy.DomiasMIA_prior.accuracy,0.495307,0.495307,0.495307,0.0,0.495307,0.0,1,0,0.17
privacy.DomiasMIA_prior.aucroc,0.429745,0.429745,0.429745,0.0,0.429745,0.0,1,0,0.17
