,min,max,mean,stddev,median,iqr,rounds,errors,durations
performance.mlp.syn_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,8.02
performance.xgb.gt,0.912566,0.912566,0.912566,0.0,0.912566,0.0,1,0,1.25
performance.xgb.syn_id,0.513477,0.513477,0.513477,0.0,0.513477,0.0,1,0,1.25
performance.xgb.syn_ood,0.413095,0.413095,0.413095,0.0,0.413095,0.0,1,0,1.25
performance.linear_model_augmentation.gt,0.781944,0.781944,0.781944,0.0,0.781944,0.0,1,0,8.45
performance.linear_model_augmentation.aug_ood,0.470238,0.470238,0.470238,0.0,0.470238,0.0,1,0,8.45
performance.mlp_augmentation.gt,0.495556,0.495556,0.495556,0.0,0.495556,0.0,1,0,8.42
performance.mlp_augmentation.aug_ood,0.500000,0.500000,0.500000,0.0,0.500000,0.0,1,0,8.42
performance.xgb_augmentation.gt,0.912566,0.912566,0.912566,0.0,0.912566,0.0,1,0,1.26
performance.xgb_augmentation.aug_ood,0.413095,0.413095,0.413095,0.0,0.413095,0.0,1,0,1.26
performance.feat_rank_distance.corr,-0.013406,-0.013406,0.001000,0.0,-0.013406,0.0,1,0,0.34
performance.feat_rank_distance.pvalue,0.854984,0.854984,0.854984,0.0,0.854984,0.0,1,0,0.34
detection.detection_xgb.mean,0.999540,0.999540,0.999540,0.0,0.999540,0.0,1,0,0.25
detection.detection_mlp.mean,0.936128,0.936128,0.936128,0.0,0.936128,0.0,1,0,5.74
detection.detection_gmm.mean,0.482125,0.482125,0.482125,0.0,0.482125,0.0,1,0,3.99
detection.detection_linear.mean,0.999135,0.999135,0.999135,0.0,0.999135,0.0,1,0,28.10
privacy.delta-presence.score,3.000000,3.000000,3.000000,0.0,3.000000,0.0,1,0,0.18
privacy.k-anonymization.gt,18.000000,18.000000,18.000000,0.0,18.000000,0.0,1,0,0.54
privacy.k-anonymization.syn,16.000000,16.000000,16.000000,0.0,16.000000,0.0,1,0,0.54
privacy.k-map.score,6.000000,6.000000,6.000000,0.0,6.000000,0.0,1,0,0.30
privacy.distinct l-diversity.gt,18.000000,18.000000,18.000000,0.0,18.000000,0.0,1,0,0.33
privacy.distinct l-diversity.syn,16.000000,16.000000,16.000000,0.0,16.000000,0.0,1,0,0.33
privacy.identifiability_score.score,0.276744,0.276744,0.276744,0.0,0.276744,0.0,1,0,0.10
privacy.identifiability_score.score_OC,0.258140,0.258140,0.258140,0.0,0.258140,0.0,1,0,0.10
privacy.DomiasMIA_BNAF.accuracy,0.402166,0.402166,0.402166,0.0,0.402166,0.0,1,0,255.52
privacy.DomiasMIA_BNAF.aucroc,0.562436,0.562436,0.562436,0.0,0.562436,0.0,1,0,255.52
privacy.DomiasMIA_prior.accuracy,0.496751,0.496751,0.496751,0.0,0.496751,0.0,1,0,0.15
privacy.DomiasMIA_prior.aucroc,0.459127,0.459127,0.459127,0.0,0.459127,0.0,1,0,0.15
